id;value
0;Douro
1;Oregon
2;Michigan
3;Northern Spain
4;Sicily & Sardinia
5;Alsace
6;Rheinhessen
7;California
8;Mosel
9;Other
10;Mendoza Province
11;Virginia
12;Colchagua Valley
13;Southern Italy
14;Beaujolais
15;Maule Valley
16;Bordeaux
17;Maipo Valley
18;Washington
19;Central Italy
20;Champagne
21;Burgundy
22;South Australia
23;Rapel Valley
24;Galicia
25;France Other
26;Tuscany
27;Burgenland
28;New York
29;Leyda Valley
30;Piedmont
31;Stellenbosch
32;Simonsberg-Stellenbosch
33;Alentejano
34;Central Spain
35;Southwest France
36;Aconcagua Valley
37;Loncomilla Valley
38;Marlborough
39;Northeastern Italy
40;Casablanca Valley
41;Veneto
42;Western Cape
43;Judean Hills
44;Alentejo
45;Coastal Region
46;Rhône Valley
47;Galilee
48;Beira Atlantico
49;Tokaj
50;Leithaberg
51;Santorini
52;Kremstal
53;Catalonia
54;Recas
55;Hawke's Bay
56;Curicó Valley
57;Limarí Valley
58;Colchagua Costa
59;Languedoc-Roussillon
60;Provence
61;Victoria
62;Rheingau
63;Tokaji
64;Valle de Guadalupe
65;Central Valley
66;Lontué Valley
67;Italy Other
68;Weinviertel
69;Niederösterreich
70;Wagram
71;Loire Valley
72;Lombardy
73;Ontario
74;Österreichischer Sekt
75;Kamptal
76;Steiermark
77;Südsteiermark
78;Crete
79;Vinho Verde
80;Idaho
81;Tejo
82;Western Australia
83;Levante
84;Martinborough
85;Central Otago
86;Lisboa
87;Texas
88;Península de Setúbal
89;Australia Other
90;Tasmania
91;Franken
92;Ahr
93;Nahe
94;Dealu Mare
95;Darling
96;Port
97;Chile
98;Südoststeiermark
99;Corinth
100;Halkidiki
101;Thrace
102;Pfalz
103;Robertson
104;Dan
105;Northwestern Italy
106;Andalucia
107;Awatere Valley
108;Wiener Gemischter Satz
109;Wachau
110;Pennsylvania
111;Swartland
112;Dão
113;Rio Claro
114;Villány
115;Cachapoal Valley
116;Jidvei
117;America
118;Traisental
119;Bairrada
120;Negev Hills
121;Ribatejano
122;Duriense
123;New Jersey
124;Beiras
125;Spanish Islands
126;Upper Galilee
127;Vinho Espumante
128;Epanomi
129;Nemea
130;Peloponnese
131;Aconcagua Costa
132;Moravia
133;Slovenia
134;Terras do Dão
135;Beira Interior
136;Panciu
137;Bío Bío Valley
138;Romania
139;Minho
140;Missouri
141;New Mexico
142;Nevada
143;Bucelas
144;Peumo
145;Thermenregion
146;Carnuntum
147;Estremadura
148;Canterbury
149;Spain Other
150;Drama
151;Ella Valley
152;Moselle Luxembourgeoise
153;Walker Bay
154;Württemberg
155;Baden
156;Pangeon
157;Elqui Valley
158;Wairau Valley
159;Portuguese Table Wine
160;Istria
161;Peljesac
162;Kakheti
163;Canelones
164;England
165;Marchigue
166;Paarl
167;Weinland Österreich
168;Mantinia
169;Chalkidiki
170;Lebanon
171;Setubal
172;Mosel-Saar-Ruwer
173;Colorado
174;Pocerina
175;British Columbia
176;Puente Alto
177;Kumeu
178;Trás-os-Montes
179;Shomron
180;Rapsani
181;New South Wales
182;Nelson
183;Waipara Valley
184;Constantia
185;Arizona
186;San Antonio
187;Pinto Bandeira
188;Primorska
189;Moldova
190;Uruguay
191;Zenata
192;South Africa
193;Massachusetts
194;Ohio
195;Ica
196;San Vicente
197;Nashik
198;Franschhoek
199;South Island
200;Atlantida
201;Thracian Valley
202;Tarnave
203;Vipavska Dolina
204;Bekaa Valley
205;Elgin
206;Itata Valley
207;Table wine
208;Samson
209;Wagram-Donauland
210;Cyprus
211;Pageon
212;Naoussa
213;Wellington
214;Danube River Plains
215;Gisborne
216;Wairarapa
217;Armenia
218;Santa Cruz
219;Korčula
220;Viile Timisului
221;Illinois
222;Aegean
223;Simonsberg-Paarl
224;Juanico
225;Black Sea Coastal
226;Santa Catarina
227;Overberg
228;Atalanti Valley
229;Sebes
230;Moscatel de Setúbal
231;Macedonia
232;Ribatejo
233;Germany
234;Palmela
235;Galil
236;Kras
237;Croatia
238;Waipara
239;Olifants River
240;Montevideo
241;Vienna
242;Hungary
243;Lolol Valley
244;Cauquenes Valley
245;Neusiedlersee
246;Groenekloof
247;Alenquer
248;Goriska Brda
249;Murfatlar
250;Washington-Oregon
251;New Zealand
252;Serra Gaúcha
253;San Jose
254;Vale dos Vinhedos
255;Mittelburgenland
256;Lutzville Valley
257;North Carolina
258;Apalta
259;Malleco
260;Israel
261;Guerrouane
262;Valais
263;Choapa Valley
264;Georgia
265;Ankara
266;Samos
267;Mittelrhein
268;Durbanville
269;Eisenberg
270;Sagrada Familia
271;Obidos
272;Austria
273;Mostar
274;Iowa
275;Patras
276;Korinthia
277;Greece
278;San Clemente
279;Podunavlje
280;Florina
281;Buin
282;Haut-Judeé
283;Ukraine
284;Maipo Valley-Colchagua Valley
285;Breedekloof
286;Leyda Valley-Maipo Valley
287;Cederberg
288;Vermont
289;Switzerland
290;Waitaki Valley
291;Eger
292;Golan Heights
293;Fruška Gora
294;Philadelphia
295;Muzla
296;Mátra
297;Pirque
298;Vinho Espumante de Qualidade
299;Negev
300;Pitsilia Mountains
301;East Coast
302;Mavrodaphne of Patras
303;Attica
304;Brazil
305;Progreso
306;Elazığ-Diyarbakir
307;Jonkershoek Valley
308;Tikves
309;Vale Trentino
310;Turkey
311;Waiheke Island
312;Molina
313;Serra do Sudeste
314;Dalmatian Coast
315;Eilandia
316;Dealurile Munteniei
317;Thraki
318;Curicó and Maipo Valleys
319;Štajerska
320;Middle and South Dalmatia
321;Kentucky
322;Župa
323;Pafos
324;Monemvasia
325;Szekszárd
326;Tulbagh
327;Madeira
328;Elazığ
329;Cappadocia
330;Kutjevo
331;Ismarikos
332;Connecticut
333;Sithonia
334;Curicó and Leyda Valleys
335;Agioritikos
336;Casablanca-Curicó Valley
337;Beotia
338;Algarve
339;Hemel en Aarde
340;Retsina
341;Amindeo
342;Terras do Sado
343;Coelemu
344;Cape South Coast
345;Sopron
346;Bulgaria
347;North Dalmatia
348;Northern Cape
349;Vinho da Mesa
350;Hvar
351;Cephalonia
352;Lemesos
353;Cahul
354;Cyclades
355;Breede River Valley
356;Elim
357;Ticino
358;Moscatel do Douro
359;Vlootenburg
360;Brda
361;Dingač
362;Morocco
363;Achaia
364;Polkadraai Hills
365;Bot River
366;Rhode Island
367;Amyndeon
368;Vânju Mare
369;Hrvatsko Primorje
370;Central Greece
371;Dolenjska
372;Österreichischer Perlwein
373;Requinoa
374;Mavrodaphne de Cephalonie
375;Goumenissa
376;Portugal
377;Messinia
378;Lakonia
379;Markopoulo
380;Vinho Licoroso
381;Campanha
382;Paardeberg
383;San Antonio de las Minas Valley
384;Krania Olympus
385;Corinthia
386;Slovenska Istra
387;Commandaria
388;Gladstone
389;Jerusalem Hills
390;Mount Athos
391;Colares
392;Helderberg
393;Casablanca & Leyda Valleys
394;Dealurile Hușilor
395;Urla-Thrace
396;Südburgenland
397;Cape Peninsula
398;Codru Region
399;Sterea Ellada
400;Muscat of Patras
401;Imathia
402;Alenteo
403;Canada Other
404;Malgas
405;Letrinon
406;Muscat of Kefallonian
407;Thessalikos
408;Hawaii
409;China
410;Limnos
411;Viile Timis
412;Devon Valley
413;Krk
414;Arcadia
415;Cape Agulhas
416;Kathikas
417;Vin de Pays de Velvendo
418;Landwein Rhein
419;Lesbos
420;Távora-Varosa
421;Neuchâtel
