id;value
0;Portuguese Red
1;Pinot Gris
2;Riesling
3;Pinot Noir
4;Tempranillo-Merlot
5;Frappato
6;Gewürztraminer
7;Cabernet Sauvignon
8;Chardonnay
9;Malbec
10;Tempranillo Blend
11;Meritage
12;Red Blend
13;White Blend
14;Merlot
15;Nero d'Avola
16;Chenin Blanc
17;Sauvignon Blanc
18;Viognier-Chardonnay
19;Primitivo
20;Catarratto
21;Gamay
22;Inzolia
23;Petit Verdot
24;Monica
25;Bordeaux-style White Blend
26;Grillo
27;Sangiovese
28;Cabernet Franc
29;Champagne Blend
30;Bordeaux-style Red Blend
31;Aglianico
32;Petite Sirah
33;Carmenère
34;Albariño
35;Petit Manseng
36;Rosé
37;Zinfandel
38;Vernaccia
39;Rosato
40;Grüner Veltliner
41;Viognier
42;Vermentino
43;Grenache Blanc
44;Syrah
45;Nebbiolo
46;Shiraz-Cabernet Sauvignon
47;Pinot Blanc
48;Alsace white blend
49;Barbera
50;Rhône-style Red Blend
51;Portuguese White
52;Graciano
53;Tannat-Cabernet
54;Sauvignon
55;Torrontés
56;Prugnolo Gentile
57;G-S-M
58;Verdejo
59;Fumé Blanc
60;Furmint
61;Pinot Bianco
62;Bonarda
63;Shiraz
64;Montepulciano
65;Moscato
66;Grenache
67;Ugni Blanc-Colombard
68;Syrah-Viognier
69;Blaufränkisch
70;Friulano
71;Assyrtico
72;Carignan-Grenache
73;Savagnin
74;Cabernet Sauvignon-Syrah
75;Prosecco
76;Vignoles
77;Sparkling Blend
78;Muscat
79;Muscadelle
80;Shiraz-Viognier
81;Garganega
82;Pinot Grigio
83;Tempranillo
84;Cortese
85;Mencía
86;Zweigelt
87;Nerello Mascalese
88;Melon
89;Rhône-style White Blend
90;Vidal
91;Cannonau
92;Verdelho
93;Marsanne
94;Scheurebe
95;Kerner
96;Syrah-Grenache
97;Dolcetto
98;Vilana
99;Glera
100;Viura
101;Garnacha Tintorera
102;Pinot Nero
103;Pinotage
104;Sémillon
105;Pinot Noir-Gamay
106;Antão Vaz
107;Cabernet Sauvignon-Carmenère
108;Verdejo-Viura
109;Verduzzo
110;Verdicchio
111;Silvaner
112;Colombard
113;Carricante
114;Sylvaner
115;Fiano
116;Früburgunder
117;Sousão
118;Roussanne
119;Avesso
120;Cinsault
121;Tinta Miúda
122;Muscat Blanc à Petits Grains
123;Portuguese Sparkling
124;Monastrell
125;Xarel-lo
126;Greco
127;Trebbiano
128;Corvina, Rondinella, Molinara
129;Chenin Blanc-Chardonnay
130;Insolia
131;Merlot-Malbec
132;Ribolla Gialla
133;Cabernet Sauvignon-Merlot
134;Port
135;Weissburgunder
136;Roditis
137;Traminer
138;Papaskarasi
139;Tannat-Syrah
140;Marsanne-Roussanne
141;Charbono
142;Sangiovese Grosso
143;Merlot-Argaman
144;Prié Blanc
145;Sherry
146;Provence red blend
147;Zibibbo
148;Falanghina
149;Garnacha
150;Negroamaro
151;Mourvèdre
152;Syrah-Cabernet
153;Müller-Thurgau
154;Pinot Meunier
155;Cabernet Sauvignon-Sangiovese
156;Austrian Red Blend
157;Teroldego
158;Sagrantino
159;Tannat
160;Pansa Blanca
161;Muskat Ottonel
162;Sauvignon Blanc-Semillon
163;Claret
164;Semillon-Sauvignon Blanc
165;Bical
166;Touriga Nacional
167;Moscatel
168;Rosado
169;Viura-Chardonnay
170;Baga
171;Malvasia Bianca
172;Gelber Muskateller
173;Malbec-Merlot
174;Monastrell-Syrah
175;Malbec-Tannat
176;Malbec-Cabernet Franc
177;Refosco
178;Turbiana
179;Alvarinho
180;Agiorgitiko
181;Malagousia
182;Assyrtiko
183;Ruché
184;Welschriesling
185;Tinta de Toro
186;Cabernet Moravia
187;Rieslaner
188;Traminette
189;Chambourcin
190;Lambrusco di Sorbara
191;Cesanese
192;Feteasca Neagra
193;Lagrein
194;Tinta Fina
195;St. Laurent
196;Marsanne-Viognier
197;Cabernet Sauvignon-Shiraz
198;Syrah-Cabernet Sauvignon
199;Gewürztraminer-Riesling
200;Pugnitello
201;Cerceal
202;Touriga Nacional Blend
203;Tocai
204;Fernão Pires
205;Cabernet Franc-Cabernet Sauvignon
206;Grenache-Syrah
207;Seyval Blanc
208;Muscat Canelli
209;Cabernet Merlot
210;Tempranillo-Cabernet Sauvignon
211;Arinto
212;Merlot-Cabernet Franc
213;Syrah-Petite Sirah
214;Cabernet Blend
215;Maturana
216;Pecorino
217;Rotgipfler
218;Kinali Yapincak
219;Cabernet Franc-Carmenère
220;Gamay Noir
221;Sauvignon Gris
222;Spätburgunder
223;Picpoul
224;Vidal Blanc
225;Albanello
226;Arneis
227;Malvasia
228;Plavac Mali
229;Lemberger
230;Saperavi
231;Altesse
232;Blanc du Bois
233;Provence white blend
234;Nosiola
235;Dornfelder
236;Roussanne-Viognier
237;Godello
238;Mondeuse
239;Perricone
240;Pedro Ximénez
241;Auxerrois
242;Syrah-Merlot
243;Albana
244;Muskat
245;Lambrusco
246;Cabernet Sauvignon-Malbec
247;Tinto Fino
248;Malbec-Cabernet Sauvignon
249;Moschofilero
250;Grechetto
251;Encruzado
252;Carignano
253;Cabernet Franc-Merlot
254;Torbato
255;Syrah-Petit Verdot
256;Garnacha Blanca
257;Pallagrello
258;Morava
259;Syrah-Mourvèdre
260;Aleatico
261;Carcajolu
262;Kisi
263;Zierfandler
264;Shiraz-Grenache
265;Palomino
266;Magliocco
267;Grenache-Carignan
268;Nascetta
269;Siria
270;Malbec-Syrah
271;Feteascǎ Regalǎ
272;Lambrusco Grasparossa
273;Marselan
274;Tocai Friulano
275;Schiava
276;Alfrocheiro
277;Chardonnay-Semillon
278;Norton
279;Alicante Bouschet
280;Tokaji
281;Moscadello
282;Cabernet Sauvignon-Tempranillo
283;Carignan
284;Loureiro-Arinto
285;Cabernet-Syrah
286;Sauvignon Blanc-Chardonnay
287;Symphony
288;Edelzwicker
289;Black Muscat
290;Grenache Noir
291;Durella
292;Xinomavro
293;Tinto del Pais
294;Merlot-Cabernet Sauvignon
295;Cercial
296;Roter Veltliner
297;Johannisberg Riesling
298;Petite Verdot
299;Passerina
300;Valdiguié
301;Colombard-Sauvignon Blanc
302;Kangoun
303;Loureiro
304;Posip
305;Uva di Troia
306;Gros and Petit Manseng
307;Jacquère
308;Kalecik Karasi
309;Karasakiz
310;Mourvèdre-Syrah
311;Negrette
312;Zierfandler-Rotgipfler
313;Clairette
314;Aragonez
315;Raboso
316;País
317;Chardonnay-Viognier
318;Mauzac
319;Pinot Auxerrois
320;Chenin Blanc-Sauvignon Blanc
321;Diamond
322;Marzemino
323;Tinta Barroca
324;Chardonnay-Sauvignon Blanc
325;Castelão
326;Trebbiano Spoletino
327;Teran
328;Trepat
329;Freisa
330;Neuburger
331;Nero di Troia
332;Chasselas
333;Tinta Roriz
334;Hárslevelü
335;Trincadeira
336;Merlot-Tannat
337;Rkatsiteli
338;Siegerrebe
339;Trousseau Gris
340;Grenache Blend
341;Austrian white blend
342;Gros Manseng
343;Portuguese Rosé
344;Brachetto
345;Muskateller
346;Aligoté
347;Sangiovese Cabernet
348;Touriga Nacional-Cabernet Sauvignon
349;Muscat Blanc
350;Argaman
351;Viognier-Roussanne
352;Pallagrello Bianco
353;Bobal
354;Malvasia Istriana
355;Cabernet Sauvignon-Cabernet Franc
356;Baco Noir
357;Veltliner
358;Tempranillo-Tannat
359;Morillon
360;Touriga Franca
361;Barbera-Nebbiolo
362;Prieto Picudo
363;Gaglioppo
364;Tokay
365;Piedirosso
366;Piquepoul Blanc
367;Chardonnay-Sauvignon
368;Tempranillo-Garnacha
369;Carmenère-Cabernet Sauvignon
370;Chenin Blanc-Viognier
371;Susumaniello
372;Vitovska
373;Orange Muscat
374;Grauburgunder
375;Carignane
376;Moscatel Roxo
377;Picolit
378;Nerello Cappuccio
379;Counoise
380;Macabeo
381;Mazuelo
382;Sauvignon-Sémillon
383;Tinta del Pais
384;Vranec
385;Corvina
386;Mavrud
387;Cesanese d'Affile
388;Moscato Giallo
389;Debit
390;Verdil
391;Cabernet
392;Verduzzo Friulano 
393;Treixadura
394;Duras
395;Loin de l'Oeil
396;Coda di Volpe
397;Grenache-Mourvèdre
398;Forcallà
399;Viura-Verdejo
400;Manzoni
401;Pinot-Chardonnay
402;Syrah-Tempranillo
403;Cabernet Sauvignon-Barbera
404;Merlot-Cabernet
405;Muscat d'Alexandrie
406;Jaen
407;Tinta del Toro
408;Timorasso
409;Pigato
410;Sangiovese-Cabernet Sauvignon
411;Shiraz-Cabernet
412;Viognier-Gewürztraminer
413;Prunelard
414;Sauvignon Blanc-Chenin Blanc
415;Gros Plant
416;Malbec-Petit Verdot
417;Colombard-Ugni Blanc
418;Sacy
419;Mansois
420;Grignolino
421;Garnacha-Syrah
422;Rufete
423;Tempranillo-Shiraz
424;Mtsvane
425;Chardonnay-Pinot Gris
426;Marawi
427;Chardonnay-Pinot Blanc
428;Mataro
429;Tinta Cao
430;Blauer Portugieser
